neighborhood,price,price_per_m2,rooms,area_m2,floor,max_floors,year,build_material,heating_type,condition
Šnipiškės,279000,4227,3,66,6,6,2020,brick,central thermostat,fully equipped
Užupis,175000,3500,2,50,3,3,2020,brick,central,fully equipped
Žvėrynas,279000,3671,3,76,6,6,2018,brick,central thermostat,fully equipped
Senamiestis,279000,4227,3,66,6,6,2020,brick,central thermostat,fully equipped
Naujininkai,225000,2045,4,110,3,3,2014,brick,gas,fully equipped
Senamiestis,279000,4227,3,66,6,6,2020,brick,central thermostat,fully equipped
Antakalnis,116700,1754,3,66,1,1,2019,brick,gas,partial decoration
Šnipiškės,71557,2355,1,30,5,5,2020,NaN,central thermostat,NaN
Šnipiškės,67076,2484,1,27,7,7,2021,NaN,central thermostat,NaN
Šnipiškės,71221,2531,1,28,7,7,2021,NaN,central thermostat,NaN
Šnipiškės,279000,4227,3,66,6,6,2020,brick,central thermostat,fully equipped
Žvėrynas,193600,3025,2,64,2,2,2004,brick,electric,fully equipped
Bajorai,75400,1791,2,42,4,4,2021,brick,central thermostat,partial decoration
Užupis,292300,3580,3,81,2,2,2020,brick,central thermostat,partial decoration
Naujamiestis,144000,1946,3,74,3,3,2020,brick,central thermostat,partial decoration
Žvėrynas,279000,3652,3,76,6,6,2018,brick,central thermostat,fully equipped
Karoliniškės,95400,1789,2,53,3,3,2021,brick,central thermostat,partial decoration
Viršuliškės,102600,1952,3,52,3,3,2021,block house,central thermostat,partial decoration
Pašilaičiai,98600,1668,3,59,5,5,2021,brick,central thermostat,partial decoration
Šnipiškės,99100,2949,1,33,5,5,2021,brick,central thermostat,partial decoration
Šnipiškės,96700,2900,1,33,3,3,2021,brick,central thermostat,partial decoration
Šnipiškės,104800,2650,2,39,4,4,2021,brick,central thermostat,partial decoration
Lazdynėliai,47500,2116,1,22,3,3,2021,brick,central thermostat,partial decoration
Pilaitė,133000,1797,3,74,1,1,2020,block house,central thermostat,fully equipped
Užupis,232800,3638,3,64,3,3,2020,brick,central thermostat,partial decoration
Kalnėnai,135000,1311,5,103,2,2,2021,brick,gas,partial decoration
